station,duration,SU,ID,FD,TR,CDD,CWD,TXX,TXN,TNX,TNN,TX90p,TX10p,TN90p,TN10p,R10,R20,R72,R100,RX1day,RX5day,R95P,R99P,PRCPTOT,SDII,DTR
강릉,단기,0.9795328142380422,0.009121245828698556,-0.6404894327030032,0.9032258064516127,0.12035595105672965,-0.010901001112347033,0.05092324805339266,0.05210233592880977,0.08638487208008895,0.06525027808676306,0.06424916573971076,0.08161290322580646,0.08449388209121243,0.054171301446051146,0.04694104560622912,-0.006006674082313666,-0.004671857619577307,-0.0011123470522803119,-0.3791546162402662,-0.6644493882091194,-0.1165261401557286,-0.23573659621802184,-0.1309899888765272,-0.014161659261390238,-0.007719516673745884
강릉,중기,1.6262513904338145,-0.08720800889877638,-0.7125695216907671,1.1494994438264736,-0.11813125695216904,0.009788654060066742,0.09713014460511676,0.1190878754171301,0.07717463848720799,0.1102113459399332,0.07694104560622911,0.1032035595105673,0.08048943270300327,0.10738598442714126,0.2676307007786428,0.024471635150166853,0.02558398220244715,-0.0035595105672969972,0.6517686318131256,1.4517463848720797,6.340378197899703e-05,0.580393548387096,4.746674082313686,0.011551921661948352,-0.004450727809872412
강릉,장기,1.1864661654135342,-0.014285714285714296,-0.5857142857142857,1.510526315789474,-0.11729323308270671,-0.06466165413533834,0.10360902255639107,0.016390977443609022,0.09691729323308276,0.05639097744360906,0.0743834586466166,0.0036842105263158024,0.06586466165413535,0.058270676691729376,0.17518796992481206,0.23684210526315796,0.10150375939849626,-0.0015037593984962379,2.152631578947369,1.3509022556390977,0.2917293233082723,1.5082135338345874,16.248421052631585,0.07101058510743141,0.013118534258736023
강진군,단기,0.7830923248053391,-0.025361512791991083,-0.7644048943270298,0.8129032258064514,0.021579532814238016,0.05939933259176861,0.06440489432703005,0.06620689655172414,0.054527252502780885,0.03230255839822023,0.06816462736373743,0.06309232480533926,0.06562847608453835,0.04749721913236931,-0.0758620689655172,-0.1074527252502781,0.03381535038932146,0.02202447163515016,2.1514571746384865,2.931768631813125,0.4785795328142378,1.7470309232480525,2.605139043381532,0.015356411153518323,-0.0031314056068442904
강진군,중기,1.2318131256952165,-0.010456062291434923,-0.6380422691879865,0.936596218020022,0.20133481646273635,0.030478309232480526,0.1157285873192436,0.1265406006674082,0.07919911012235814,0.09512791991101222,0.10293659621801998,0.09595105672969965,0.08037819799777525,0.10734149054505,0.15506117908787537,0.19043381535038925,0.02269187986651834,0.016685205784204665,0.18240266963292523,0.5123915461624026,0.11175528364849813,0.05999421579532787,6.327741935483869,0.01769475739216887,0.012308993266114053
강진군,장기,1.118045112781955,0.0,-0.7172932330827069,1.143609022556391,0.007518796992481229,-0.06390977443609022,0.11105263157894733,0.07864661654135337,0.08548872180451124,0.09609022556390977,0.11203007518796994,0.1309022556390977,0.07842105263157893,0.06338345864661651,0.33684210526315805,0.3729323308270678,0.0443609022556391,-0.027067669172932334,-1.8895488721804516,-3.041127819548872,-0.3346541353383486,-1.408148120300751,10.014060150375938,0.06670783064462245,0.05032784726793938
강화,단기,1.177085650723025,-0.3922135706340378,-0.604449388209121,0.9510567296996659,-0.06429365962180199,0.0011123470522803236,0.08832035595105672,0.07826473859844266,0.08389321468298107,0.04525027808676303,0.0898331479421579,0.08687430478309227,0.07461624026696326,0.04591768631813124,0.14927697441601775,-0.13281423804226916,0.010678531701891009,-0.0011123470522803095,-0.43323692992213536,-0.7060066740823132,-0.034778642936597284,-0.4158825361512795,-0.14749721913236946,-0.0183288525207716,-0.009613214204552228
강화,중기,1.155061179087875,-0.35283648498331466,-0.7216907675194659,1.1995550611790875,0.20689655172413784,-0.08720800889877639,0.1303225806451612,0.12698553948832034,0.11655172413793102,0.133726362625139,0.1250500556173526,0.12860956618464958,0.09957730812013343,0.12344827586206898,0.11835372636262509,-0.012680756395995547,0.04249165739710786,0.010011123470522802,0.588008898776418,1.0327030033370415,-0.113005561735263,0.42983648498331595,4.817619577308123,0.048604807485771714,0.0042481849605893966
강화,장기,1.0714285714285716,-0.03458646616541355,-0.717293233082707,0.9917293233082706,-0.3458646616541354,0.12406015037593984,0.12308270676691728,0.14338345864661647,0.0680451127819549,0.09436090225563915,0.11669172932330835,0.1357142857142858,0.059323308270676764,0.04969924812030068,-0.11503759398496234,-0.03984962406015035,0.06090225563909774,0.03909774436090226,1.6678195488721812,0.27345864661654107,0.05350751879699194,1.061667669172935,3.1154887218045157,0.021923742382779738,0.023728595682755257
거제,단기,0.832925472747497,-0.007341490545050054,-0.5463848720800885,0.7995550611790876,0.04360400444938819,0.1519466073414905,0.07808676307007777,0.04767519466073417,0.06996662958843154,0.028520578420467173,0.07550611790878747,0.06186874304783091,0.06914349276974417,0.05294771968854279,0.21245828698553948,0.16573971078976638,0.007119021134593999,0.01201334816462737,-0.17781979977753043,1.204204671857619,0.02035038932146844,-0.09675239154616476,6.57937708565072,0.0510363403746408,-0.012028297357193235
거제,중기,1.347719688542825,-0.0028921023359288088,-0.5163515016685205,1.1483870967741932,-0.02046718576195771,0.18353726362625136,0.0976195773081201,0.11988876529477195,0.07147942157953281,0.10327030033370409,0.08909899888765292,0.08974416017797544,0.07942157953281419,0.08640711902113453,0.23470522803114563,0.3265850945494993,0.10767519466073412,0.04627363737486095,0.6592213570634036,2.2619132369299213,0.3360912124582864,0.6712469410456061,17.31232480533926,0.09702101623292066,-0.0014330484501704544
